County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Defiance,AAT,PRECINCT ADAMS TWP,Northwest,Toledo,706,149,Governor/Lieutenant Governor,,D,"Ealy, Larry",8
Defiance,AAT,PRECINCT ADAMS TWP,Northwest,Toledo,706,149,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",24
Defiance,AAT,PRECINCT ADAMS TWP,Northwest,Toledo,706,149,Attorney General,,D,"Pepper, David",30
Defiance,AAT,PRECINCT ADAMS TWP,Northwest,Toledo,706,149,Auditor of State,,D,"Carney, John Patrick",30
Defiance,AAT,PRECINCT ADAMS TWP,Northwest,Toledo,706,149,Secretary of State,,D,"Turner, Nina",30
Defiance,AAT,PRECINCT ADAMS TWP,Northwest,Toledo,706,149,Treasurer of State,,D,"Pillich, Connie",28
Defiance,AAT,PRECINCT ADAMS TWP,Northwest,Toledo,706,149,U.S. House of Representatives,05,D,"Fry, Robert",29
Defiance,AAA,PRECINCT DEFIANCE CITY 1-C,Northwest,Toledo,1136,429,Governor/Lieutenant Governor,,D,"Ealy, Larry",33
Defiance,AAA,PRECINCT DEFIANCE CITY 1-C,Northwest,Toledo,1136,429,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",59
Defiance,AAA,PRECINCT DEFIANCE CITY 1-C,Northwest,Toledo,1136,429,Attorney General,,D,"Pepper, David",74
Defiance,AAA,PRECINCT DEFIANCE CITY 1-C,Northwest,Toledo,1136,429,Auditor of State,,D,"Carney, John Patrick",75
Defiance,AAA,PRECINCT DEFIANCE CITY 1-C,Northwest,Toledo,1136,429,Secretary of State,,D,"Turner, Nina",78
Defiance,AAA,PRECINCT DEFIANCE CITY 1-C,Northwest,Toledo,1136,429,Treasurer of State,,D,"Pillich, Connie",72
Defiance,AAA,PRECINCT DEFIANCE CITY 1-C,Northwest,Toledo,1136,429,U.S. House of Representatives,05,D,"Fry, Robert",81
Defiance,AAB,PRECINCT DEFIANCE CITY 1-E,Northwest,Toledo,848,407,Governor/Lieutenant Governor,,D,"Ealy, Larry",12
Defiance,AAB,PRECINCT DEFIANCE CITY 1-E,Northwest,Toledo,848,407,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",83
Defiance,AAB,PRECINCT DEFIANCE CITY 1-E,Northwest,Toledo,848,407,Attorney General,,D,"Pepper, David",88
Defiance,AAB,PRECINCT DEFIANCE CITY 1-E,Northwest,Toledo,848,407,Auditor of State,,D,"Carney, John Patrick",87
Defiance,AAB,PRECINCT DEFIANCE CITY 1-E,Northwest,Toledo,848,407,Secretary of State,,D,"Turner, Nina",85
Defiance,AAB,PRECINCT DEFIANCE CITY 1-E,Northwest,Toledo,848,407,Treasurer of State,,D,"Pillich, Connie",89
Defiance,AAB,PRECINCT DEFIANCE CITY 1-E,Northwest,Toledo,848,407,U.S. House of Representatives,05,D,"Fry, Robert",90
Defiance,AAE,PRECINCT DEFIANCE CITY 1-H,Northwest,Toledo,934,230,Governor/Lieutenant Governor,,D,"Ealy, Larry",22
Defiance,AAE,PRECINCT DEFIANCE CITY 1-H,Northwest,Toledo,934,230,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",41
Defiance,AAE,PRECINCT DEFIANCE CITY 1-H,Northwest,Toledo,934,230,Attorney General,,D,"Pepper, David",45
Defiance,AAE,PRECINCT DEFIANCE CITY 1-H,Northwest,Toledo,934,230,Auditor of State,,D,"Carney, John Patrick",48
Defiance,AAE,PRECINCT DEFIANCE CITY 1-H,Northwest,Toledo,934,230,Secretary of State,,D,"Turner, Nina",48
Defiance,AAE,PRECINCT DEFIANCE CITY 1-H,Northwest,Toledo,934,230,Treasurer of State,,D,"Pillich, Connie",47
Defiance,AAE,PRECINCT DEFIANCE CITY 1-H,Northwest,Toledo,934,230,U.S. House of Representatives,05,D,"Fry, Robert",45
Defiance,AAF,PRECINCT DEFIANCE CITY 2-A,Northwest,Toledo,768,203,Governor/Lieutenant Governor,,D,"Ealy, Larry",11
Defiance,AAF,PRECINCT DEFIANCE CITY 2-A,Northwest,Toledo,768,203,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",36
