County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Fayette,ABE,BLOOMINGBURG,Central,Columbus,432,44,Governor/Lieutenant Governor,,D,"Ealy, Larry",4
Fayette,ABE,BLOOMINGBURG,Central,Columbus,432,44,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",7
Fayette,ABE,BLOOMINGBURG,Central,Columbus,432,44,Attorney General,,D,"Pepper, David",9
Fayette,ABE,BLOOMINGBURG,Central,Columbus,432,44,Auditor of State,,D,"Carney, John Patrick",9
Fayette,ABE,BLOOMINGBURG,Central,Columbus,432,44,Secretary of State,,D,"Turner, Nina",9
Fayette,ABE,BLOOMINGBURG,Central,Columbus,432,44,Treasurer of State,,D,"Pillich, Connie",10
Fayette,ABE,BLOOMINGBURG,Central,Columbus,432,44,U.S. House of Representatives,10,D,"Conner, Bill",7
Fayette,ABE,BLOOMINGBURG,Central,Columbus,432,44,U.S. House of Representatives,10,D,"Klepinger, Robert",4
Fayette,ABE,BLOOMINGBURG,Central,Columbus,432,44,U.S. House of Representatives,15,D,"Wharton, Scott",0
Fayette,AAS,CONCORD/GREEN,Central,Columbus,786,123,Governor/Lieutenant Governor,,D,"Ealy, Larry",1
Fayette,AAS,CONCORD/GREEN,Central,Columbus,786,123,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",10
Fayette,AAS,CONCORD/GREEN,Central,Columbus,786,123,Attorney General,,D,"Pepper, David",10
Fayette,AAS,CONCORD/GREEN,Central,Columbus,786,123,Auditor of State,,D,"Carney, John Patrick",11
Fayette,AAS,CONCORD/GREEN,Central,Columbus,786,123,Secretary of State,,D,"Turner, Nina",11
Fayette,AAS,CONCORD/GREEN,Central,Columbus,786,123,Treasurer of State,,D,"Pillich, Connie",10
Fayette,AAS,CONCORD/GREEN,Central,Columbus,786,123,U.S. House of Representatives,10,D,"Conner, Bill",0
Fayette,AAS,CONCORD/GREEN,Central,Columbus,786,123,U.S. House of Representatives,10,D,"Klepinger, Robert",0
Fayette,AAS,CONCORD/GREEN,Central,Columbus,786,123,U.S. House of Representatives,15,D,"Wharton, Scott",11
Fayette,AAU,JASPER,Central,Columbus,490,82,Governor/Lieutenant Governor,,D,"Ealy, Larry",2
Fayette,AAU,JASPER,Central,Columbus,490,82,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",7
Fayette,AAU,JASPER,Central,Columbus,490,82,Attorney General,,D,"Pepper, David",9
Fayette,AAU,JASPER,Central,Columbus,490,82,Auditor of State,,D,"Carney, John Patrick",9
Fayette,AAU,JASPER,Central,Columbus,490,82,Secretary of State,,D,"Turner, Nina",9
Fayette,AAU,JASPER,Central,Columbus,490,82,Treasurer of State,,D,"Pillich, Connie",9
Fayette,AAU,JASPER,Central,Columbus,490,82,U.S. House of Representatives,10,D,"Conner, Bill",4
