County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Highland,Southwest,Cincinnati,"25,954","7,598",Governor,,D,Larry Ealy,236
Highland,Southwest,Cincinnati,"25,954","7,598",Governor,,D,Ed FitzGerald,509
Highland,Southwest,Cincinnati,"25,954","7,598",Attorney General,,D,David Pepper,673
Highland,Southwest,Cincinnati,"25,954","7,598",Auditor of State,,D,John Patrick Carney,656
Highland,Southwest,Cincinnati,"25,954","7,598",Secretary of State,,D,Nina Turner,658
Highland,Southwest,Cincinnati,"25,954","7,598",Treasurer of State,,D,Connie Pillich,643
Highland,Southwest,Cincinnati,"25,954","7,598",U.S. House of Representatives,02,D,Ronny Richards,175
Highland,Southwest,Cincinnati,"25,954","7,598",U.S. House of Representatives,02,D,John Sheil,101
Highland,Southwest,Cincinnati,"25,954","7,598",U.S. House of Representatives,02,D,William R. Smith,241
Highland,Southwest,Cincinnati,"25,954","7,598",U.S. House of Representatives,02,D,Marek Tyszkiewicz,196
