County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Preble,West,Dayton,"27,393","7,825",Governor,,D,Larry Ealy,306
Preble,West,Dayton,"27,393","7,825",Governor,,D,Ed FitzGerald,782
Preble,West,Dayton,"27,393","7,825",Attorney General,,D,David Pepper,914
Preble,West,Dayton,"27,393","7,825",Auditor of State,,D,John Patrick Carney,912
Preble,West,Dayton,"27,393","7,825",Secretary of State,,D,Nina Turner,940
Preble,West,Dayton,"27,393","7,825",Treasurer of State,,D,Connie Pillich,913
Preble,West,Dayton,"27,393","7,825",U.S. House of Representatives,08,D,Matthew J. Guyette,467
Preble,West,Dayton,"27,393","7,825",U.S. House of Representatives,08,D,Tom Poetter,538
Preble,West,Dayton,"27,393","7,825",State Senate,05,D,Dee Gillis,420
Preble,West,Dayton,"27,393","7,825",State Senate,05,D,Joe Lacey,253
Preble,West,Dayton,"27,393","7,825",State Senate,05,D,Thomas M. Matthew,408
Preble,West,Dayton,"27,393","7,825",State House of Representatives,43,D,Roland Winburn,879
