County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Preble,West,Dayton,"27,393","7,825",Governor,,R,John Kasich,"4,945"
Preble,West,Dayton,"27,393","7,825",Attorney General,,R,Mike DeWine,"4,968"
Preble,West,Dayton,"27,393","7,825",Auditor of State,,R,Dave Yost,"4,617"
Preble,West,Dayton,"27,393","7,825",Secretary of State,,R,Jon Husted,"4,627"
Preble,West,Dayton,"27,393","7,825",Treasurer of State,,R,Josh Mandel,"4,662"
Preble,West,Dayton,"27,393","7,825",U.S. House of Representatives,08,R,John A. Boehner,"3,666"
Preble,West,Dayton,"27,393","7,825",U.S. House of Representatives,08,R,Eric Gurr,261
Preble,West,Dayton,"27,393","7,825",U.S. House of Representatives,08,R,J.D. Winteregg,"1,604"
Preble,West,Dayton,"27,393","7,825",State Senate,05,R,Bill Beagle,"3,568"
Preble,West,Dayton,"27,393","7,825",State House of Representatives,43,R,Jeff Rezabek,"4,053"
