County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,Governor/Lieutenant Governor,,R,"Kasich, John",12
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,Attorney General,,R,"DeWine, Mike",11
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,Auditor of State,,R,"Yost, Dave",11
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,Secretary of State,,R,"Husted, Jon",11
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,Treasurer of State,,R,"Mandel, Josh",12
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,U.S. House of Representatives,07,R,"Gibbs, Bob",0
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,U.S. House of Representatives,16,R,"Renacci, Jim",0
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,State Senate,27,R,"Davenport, Caleb T.",0
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,State Senate,27,R,"LaRose, Frank",0
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,State Senate,29,R,"Harbert, Dennis R.",4
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,State Senate,29,R,"Oelslager, Scott",9
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,State House of Representatives,38,R,"Slaby, Marilyn",0
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,State House of Representatives,48,R,"Schuring, Kirk",0
Stark,AAA,ALLIANCE 1-A,Northeast,Cleveland,723,29,State House of Representatives,50,R,"Hagan, Christina M.",12
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,Governor/Lieutenant Governor,,R,"Kasich, John",15
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,Attorney General,,R,"DeWine, Mike",15
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,Auditor of State,,R,"Yost, Dave",15
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,Secretary of State,,R,"Husted, Jon",14
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,Treasurer of State,,R,"Mandel, Josh",15
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,U.S. House of Representatives,07,R,"Gibbs, Bob",0
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,U.S. House of Representatives,16,R,"Renacci, Jim",0
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,State Senate,27,R,"Davenport, Caleb T.",0
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,State Senate,27,R,"LaRose, Frank",0
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,State Senate,29,R,"Harbert, Dennis R.",2
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,State Senate,29,R,"Oelslager, Scott",13
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,State House of Representatives,38,R,"Slaby, Marilyn",0
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,State House of Representatives,48,R,"Schuring, Kirk",0
Stark,AAB,ALLIANCE 1-B,Northeast,Cleveland,658,44,State House of Representatives,50,R,"Hagan, Christina M.",14
Stark,AAC,ALLIANCE 1-C,Northeast,Cleveland,798,37,Governor/Lieutenant Governor,,R,"Kasich, John",20
Stark,AAC,ALLIANCE 1-C,Northeast,Cleveland,798,37,Attorney General,,R,"DeWine, Mike",20
Stark,AAC,ALLIANCE 1-C,Northeast,Cleveland,798,37,Auditor of State,,R,"Yost, Dave",20
