county,office,district,party,candidate,votes
Adams,Governor,,D,Edward FitzGerald,1462
Adams,Governor,,R,John Kasich,4499
Adams,Governor,,G,Anita Rios,139
Adams,Attorney General,,R,Mike DeWine,4250
Adams,Attorney General,,D,David Pepper,1862
Adams,Auditor of State,,L,Bob Bridges,312
Adams,Auditor of State,,D,John Patrick Carney,1540
Adams,Auditor of State,,R,Dave Yost,4186
Adams,Secretary of State,,R,Jon Husted,4311
Adams,Secretary of State,,L,Kevin Knedler,286
Adams,Secretary of State,,D,Nina Turner,1442
Adams,Treasurer of State,,R,Josh Mandel,4636
Adams,Treasurer of State,,D,Connie Pillich,1486
Adams,U.S. House,2,D,Marek Tyszkiewicz,1496
Adams,U.S. House,2,R,Brad Wenstrup,4588
Adams,State House,90,D,Thomas Jefferson Davis,1871
Adams,State House,90,R,Terry A. Johnson,4232
Allen,Governor,,D,Edward FitzGerald,7091
Allen,Governor,,R,John Kasich,19587
Allen,Governor,,G,Anita Rios,581
Allen,Attorney General,,R,Mike DeWine,19753
Allen,Attorney General,,D,David Pepper,7432
Allen,Auditor of State,,L,Bob Bridges,1466
Allen,Auditor of State,,D,John Patrick Carney,7291
Allen,Auditor of State,,R,Dave Yost,18042
Allen,Secretary of State,,R,Jon Husted,19744
Allen,Secretary of State,,L,Kevin Knedler,1256
Allen,Secretary of State,,D,Nina Turner,6100
Allen,Treasurer of State,,R,Josh Mandel,19440
Allen,Treasurer of State,,D,Connie Pillich,7731
Allen,U.S. House,4,D,Janet Garrett,7603
Allen,U.S. House,4,R,Jim Jordan,19660
Allen,State House,4,R,Bob Cupp,20009
Allen,State House,4,D,Bo Huenke,7082
Ashland,Governor,,D,Edward FitzGerald,3177
Ashland,Governor,,R,John Kasich,11267
Ashland,Governor,,G,Anita Rios,405
Ashland,Attorney General,,R,Mike DeWine,11015
Ashland,Attorney General,,D,David Pepper,3774
Ashland,Auditor of State,,L,Bob Bridges,802
Ashland,Auditor of State,,D,John Patrick Carney,3476
Ashland,Auditor of State,,R,Dave Yost,10229
Ashland,Secretary of State,,R,Jon Husted,10486
Ashland,Secretary of State,,L,Kevin Knedler,773
Ashland,Secretary of State,,D,Nina Turner,3282
Ashland,Treasurer of State,,R,Josh Mandel,10573
Ashland,Treasurer of State,,D,Connie Pillich,4158
Ashland,U.S. House,7,R,Bob Gibbs,11905
Ashland,State House,70,R,Dave Hall,10482
Ashland,State House,70,D,James E. Riley,3820
Ashtabula,Governor,,D,Edward FitzGerald,10082
Ashtabula,Governor,,R,John Kasich,15390
Ashtabula,Governor,,G,Anita Rios,964
Ashtabula,Attorney General,,R,Mike DeWine,16013
Ashtabula,Attorney General,,D,David Pepper,10425
Ashtabula,Auditor of State,,L,Bob Bridges,1339
Ashtabula,Auditor of State,,D,John Patrick Carney,10632
Ashtabula,Auditor of State,,R,Dave Yost,14202
Ashtabula,Secretary of State,,R,Jon Husted,14428
Ashtabula,Secretary of State,,L,Kevin Knedler,1585
Ashtabula,Secretary of State,,D,Nina Turner,10137
Ashtabula,Treasurer of State,,R,Josh Mandel,14872
Ashtabula,Treasurer of State,,D,Connie Pillich,11579
Ashtabula,U.S. House,14,R,David P. Joyce,14575
Ashtabula,U.S. House,14,L,David Macko,1284
Ashtabula,U.S. House,14,D,Michael Wager,10305
Ashtabula,State House,64,R,Randy Law,1329
Ashtabula,State House,64,G,Elaine Mastromatteo,196
Ashtabula,State House,64,D,Michael J. O'Brien,966
Ashtabula,State House,99,R,Nancy McArthur,9030
Ashtabula,State House,99,D,John Patterson,14961
Athens,Governor,,D,Edward FitzGerald,7855
Athens,Governor,,R,John Kasich,5589
Athens,Governor,,G,Anita Rios,964
Athens,Attorney General,,R,Mike DeWine,6119
Athens,Attorney General,,D,David Pepper,8274
Athens,Auditor of State,,L,Bob Bridges,826
Athens,Auditor of State,,D,John Patrick Carney,7761
Athens,Auditor of State,,R,Dave Yost,5272
Athens,Secretary of State,,R,Jon Husted,5531
Athens,Secretary of State,,L,Kevin Knedler,766
Athens,Secretary of State,,D,Nina Turner,7887
Athens,Treasurer of State,,R,Josh Mandel,5561
Athens,Treasurer of State,,D,Connie Pillich,8641
Athens,U.S. House,6,D,Jennifer Garrison,385
Athens,U.S. House,6,R,Bill Johnson,651
Athens,U.S. House,6,G,Dennis Lambert,41
Athens,U.S. House,15,R,Steve Stivers,4827
Athens,U.S. House,15,D,Scott Wharton,8262
Athens,State House,78,D,Laina Fetherolf Rogers,685
Athens,State House,78,R,Ron Hood,261
Athens,State House,94,R,Yolan G. Dennis,4759
Athens,State House,94,D,Debbie Phillips,8745
Auglaize,Governor,,D,Edward FitzGerald,2287
Auglaize,Governor,,R,John Kasich,11031
Auglaize,Governor,,G,Anita Rios,279
Auglaize,Attorney General,,R,Mike DeWine,10858
Auglaize,Attorney General,,D,David Pepper,2684
Auglaize,Auditor of State,,L,Bob Bridges,708
Auglaize,Auditor of State,,D,John Patrick Carney,2435
Auglaize,Auditor of State,,R,Dave Yost,10183
Auglaize,Secretary of State,,R,Jon Husted,10712
Auglaize,Secretary of State,,L,Kevin Knedler,580
Auglaize,Secretary of State,,D,Nina Turner,2170
Auglaize,Treasurer of State,,R,Josh Mandel,10610
Auglaize,Treasurer of State,,D,Connie Pillich,2937
Auglaize,U.S. House,4,D,Janet Garrett,2619
Auglaize,U.S. House,4,R,Jim Jordan,10975
Auglaize,State Senate,1,R,Cliff Hite,4872
Auglaize,State House,82,R,Tony Burkley,4852
Auglaize,State House,84,R,Jim Buchy,6382
Belmont,Governor,,D,Edward FitzGerald,8410
Belmont,Governor,,R,John Kasich,10205
Belmont,Governor,,G,Anita Rios,529
Belmont,Attorney General,,R,Mike DeWine,10297
Belmont,Attorney General,,D,David Pepper,8876
Belmont,Auditor of State,,L,Bob Bridges,909
Belmont,Auditor of State,,D,John Patrick Carney,8664
Belmont,Auditor of State,,R,Dave Yost,9183
Belmont,Secretary of State,,R,Jon Husted,10521
Belmont,Secretary of State,,L,Kevin Knedler,861
Belmont,Secretary of State,,D,Nina Turner,7487
Belmont,Treasurer of State,,R,Josh Mandel,10661
Belmont,Treasurer of State,,D,Connie Pillich,8208
Belmont,U.S. House,6,D,Jennifer Garrison,9019
Belmont,U.S. House,6,R,Bill Johnson,9712
Belmont,U.S. House,6,G,Dennis Lambert,536
Belmont,State House,95,D,Charlie Daniels,4045
Belmont,State House,95,R,Andy Thompson,4964
Belmont,State House,96,D,Jack Cera,6748
Belmont,State House,96,R,Ron Ferguson,3469
Brown,Governor,,D,Edward FitzGerald,2731
Brown,Governor,,R,John Kasich,8550
Brown,Governor,,G,Anita Rios,266
Brown,Attorney General,,R,Mike DeWine,7756
Brown,Attorney General,,D,David Pepper,3840
Brown,Auditor of State,,L,Bob Bridges,634
Brown,Auditor of State,,D,John Patrick Carney,3164
Brown,Auditor of State,,R,Dave Yost,7569
Brown,Secretary of State,,R,Jon Husted,7876
Brown,Secretary of State,,L,Kevin Knedler,581
Brown,Secretary of State,,D,Nina Turner,2946
Brown,Treasurer of State,,R,Josh Mandel,8490
Brown,Treasurer of State,,D,Connie Pillich,3095
Brown,U.S. House,2,D,Marek Tyszkiewicz,2992
Brown,U.S. House,2,R,Brad Wenstrup,8460
Brown,State House,66,R,Doug Green,9113
Brown,State House,66,D,Ken P. McNeely Jr.,2527
Butler,Governor,,D,Edward FitzGerald,21551
Butler,Governor,,R,John Kasich,62438
Butler,Governor,,G,Anita Rios,2117
Butler,Attorney General,,R,Mike DeWine,58477
Butler,Attorney General,,D,David Pepper,27809
Butler,Auditor of State,,L,Bob Bridges,4731
Butler,Auditor of State,,D,John Patrick Carney,23066
Butler,Auditor of State,,R,Dave Yost,58207
Butler,Secretary of State,,R,Jon Husted,59813
Butler,Secretary of State,,L,Kevin Knedler,4236
Butler,Secretary of State,,D,Nina Turner,21916
Butler,Treasurer of State,,R,Josh Mandel,61213
Butler,Treasurer of State,,D,Connie Pillich,25531
Butler,U.S. House,8,R,John A. Boehner,56893
Butler,U.S. House,8,C,James J. Condit Jr.,4883
Butler,U.S. House,8,D,Tom Poetter,25172
Butler,State Senate,7,R,Shannon Jones,1541
Butler,State House,51,D,Lucinda L. Greene,7175
Butler,State House,51,R,Wes Retherford,16202
Butler,State House,52,R,Margaret Conditt,25646
Butler,State House,52,D,Cathina M. Hourani,8240
Butler,State House,53,R,Timothy Derickson,17658
Butler,State House,53,D,Suzi Rubin,8171
Butler,State House,54,D,Rick Smith,1060
Butler,State House,54,R,Paul Zeltwanger,1214
Carroll,Governor,,D,Edward FitzGerald,2137
Carroll,Governor,,R,John Kasich,5401
Carroll,Governor,,G,Anita Rios,265
Carroll,Attorney General,,R,Mike DeWine,5285
Carroll,Attorney General,,D,David Pepper,2521
Carroll,Auditor of State,,L,Bob Bridges,459
Carroll,Auditor of State,,D,John Patrick Carney,2372
Carroll,Auditor of State,,R,Dave Yost,4813
Carroll,Secretary of State,,R,Jon Husted,5141
Carroll,Secretary of State,,L,Kevin Knedler,449
Carroll,Secretary of State,,D,Nina Turner,2130
Carroll,Treasurer of State,,R,Josh Mandel,5147
Carroll,Treasurer of State,,D,Connie Pillich,2610
Carroll,U.S. House,6,D,Jennifer Garrison,2617
Carroll,U.S. House,6,R,Bill Johnson,4765
Carroll,U.S. House,6,G,Dennis Lambert,302
Carroll,State House,95,D,Charlie Daniels,3142
Carroll,State House,95,R,Andy Thompson,4518
Champaign,Governor,,D,Edward FitzGerald,2575
Champaign,Governor,,R,John Kasich,8522
Champaign,Governor,,G,Anita Rios,339
Champaign,Attorney General,,R,Mike DeWine,8440
Champaign,Attorney General,,D,David Pepper,2996
Champaign,Auditor of State,,L,Bob Bridges,617
Champaign,Auditor of State,,D,John Patrick Carney,2720
Champaign,Auditor of State,,R,Dave Yost,7974
Champaign,Secretary of State,,R,Jon Husted,8301
Champaign,Secretary of State,,L,Kevin Knedler,555
Champaign,Secretary of State,,D,Nina Turner,2535
Champaign,Treasurer of State,,R,Josh Mandel,7746
Champaign,Treasurer of State,,D,Connie Pillich,3699
Champaign,U.S. House,4,D,Janet Garrett,3066
Champaign,U.S. House,4,R,Jim Jordan,8472
Champaign,State House,85,R,Nino Vitale,8441
Clark,Governor,,D,Edward FitzGerald,11957
Clark,Governor,,R,John Kasich,25640
Clark,Governor,,G,Anita Rios,917
Clark,Attorney General,,R,Mike DeWine,25991
Clark,Attorney General,,D,David Pepper,12619
Clark,Auditor of State,,L,Bob Bridges,1829
Clark,Auditor of State,,D,John Patrick Carney,13163
Clark,Auditor of State,,R,Dave Yost,22919
Clark,Secretary of State,,R,Jon Husted,24927
Clark,Secretary of State,,L,Kevin Knedler,1805
Clark,Secretary of State,,D,Nina Turner,11643
Clark,Treasurer of State,,R,Josh Mandel,22396
Clark,Treasurer of State,,D,Connie Pillich,16004
Clark,U.S. House,8,R,John A. Boehner,23140
Clark,U.S. House,8,C,James J. Condit Jr.,1892
Clark,U.S. House,8,D,Tom Poetter,13360
Clark,State House,74,R,Robert D. Hackett,5183
Clark,State House,79,D,Darrell Jackson,12388
Clark,State House,79,R,Kyle Koehler,19157
Clermont,Governor,,D,Edward FitzGerald,9647
Clermont,Governor,,R,John Kasich,39395
Clermont,Governor,,G,Anita Rios,1514
Clermont,Attorney General,,R,Mike DeWine,36704
Clermont,Attorney General,,D,David Pepper,14113
Clermont,Auditor of State,,L,Bob Bridges,3127
Clermont,Auditor of State,,D,John Patrick Carney,10798
Clermont,Auditor of State,,R,Dave Yost,36423
Clermont,Secretary of State,,R,Jon Husted,37250
Clermont,Secretary of State,,L,Kevin Knedler,2961
Clermont,Secretary of State,,D,Nina Turner,10215
Clermont,Treasurer of State,,R,Josh Mandel,38501
Clermont,Treasurer of State,,D,Connie Pillich,12311
Clermont,U.S. House,2,D,Marek Tyszkiewicz,11238
Clermont,U.S. House,2,R,Brad Wenstrup,39277
Clermont,State House,65,R,John Becker,24012
Clermont,State House,65,D,Charlie Carlier,7895
Clermont,State House,66,R,Doug Green,13724
Clermont,State House,66,D,Ken P. McNeely Jr.,4163
Clinton,Governor,,D,Edward FitzGerald,1752
Clinton,Governor,,R,John Kasich,7573
Clinton,Governor,,G,Anita Rios,251
Clinton,Attorney General,,R,Mike DeWine,7492
Clinton,Attorney General,,D,David Pepper,2302
Clinton,Auditor of State,,L,Bob Bridges,533
Clinton,Auditor of State,,D,John Patrick Carney,1931
Clinton,Auditor of State,,R,Dave Yost,7223
Clinton,Secretary of State,,R,Jon Husted,7452
Clinton,Secretary of State,,L,Kevin Knedler,462
Clinton,Secretary of State,,D,Nina Turner,1803
Clinton,Treasurer of State,,R,Josh Mandel,7641
Clinton,Treasurer of State,,D,Connie Pillich,2110
Clinton,U.S. House,15,R,Steve Stivers,7635
Clinton,U.S. House,15,D,Scott Wharton,2014
Clinton,State Senate,17,R,Bob Peterson,7999
Clinton,State House,91,R,Cliff Rosenberger,8040
Columbiana,Governor,,D,Edward FitzGerald,7217
Columbiana,Governor,,R,John Kasich,18895
Columbiana,Governor,,G,Anita Rios,813
