County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Champaign,West,Dayton,"25,505","11,880",Governor,,D,Edward FitzGerald,"2,575"
Champaign,West,Dayton,"25,505","11,880",Governor,,R,John Kasich,"8,522"
Champaign,West,Dayton,"25,505","11,880",Governor,,G,Anita Rios,339
Champaign,West,Dayton,"25,505","11,880",Attorney General,,R,Mike DeWine,"8,440"
Champaign,West,Dayton,"25,505","11,880",Attorney General,,D,David Pepper,"2,996"
Champaign,West,Dayton,"25,505","11,880",Auditor of State,,L,Bob Bridges,617
Champaign,West,Dayton,"25,505","11,880",Auditor of State,,D,John Patrick Carney,"2,720"
Champaign,West,Dayton,"25,505","11,880",Auditor of State,,R,Dave Yost,"7,974"
Champaign,West,Dayton,"25,505","11,880",Secretary of State,,R,Jon Husted,"8,301"
Champaign,West,Dayton,"25,505","11,880",Secretary of State,,L,Kevin Knedler,555
Champaign,West,Dayton,"25,505","11,880",Secretary of State,,D,Nina Turner,"2,535"
Champaign,West,Dayton,"25,505","11,880",Treasurer of State,,R,Josh Mandel,"7,746"
Champaign,West,Dayton,"25,505","11,880",Treasurer of State,,D,Connie Pillich,"3,699"
Champaign,West,Dayton,"25,505","11,880",U.S. House of Representatives,04,D,Janet Garrett,"3,066"
Champaign,West,Dayton,"25,505","11,880",U.S. House of Representatives,04,R,Jim Jordan,"8,472"
Champaign,West,Dayton,"25,505","11,880",State House of Representatives,85,R,Nino Vitale,"8,441"
