County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,Jeb Bush,34
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,Ben Carson,98
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,Chris Christie,19
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,Ted Cruz,"1,511"
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,Carly Fiorina,16
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,Mike Huckabee,35
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,John R. Kasich,"3,301"
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,Marco Rubio,299
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,Rick Santorum,21
Jefferson,Southeast,Wheeling,"46,383","20,086",President (at-large),,R,Donald J. Trump,"6,017"
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,Jeb Bush,38
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,Ben Carson,150
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,Chris Christie,31
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,Ted Cruz,"1,527"
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,Carly Fiorina,21
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,Mike Huckabee,46
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,John R. Kasich,"3,204"
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,Marco Rubio,323
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,Rick Santorum,45
Jefferson,Southeast,Wheeling,"46,383","20,086",President (district),06,R,Donald J. Trump,"5,771"
Jefferson,Southeast,Wheeling,"46,383","20,086",U.S. Senator,,R,Don Elijah Eckhart,"1,952"
Jefferson,Southeast,Wheeling,"46,383","20,086",U.S. Senator,,R,Rob Portman,"7,049"
Jefferson,Southeast,Wheeling,"46,383","20,086",Representative to Congress,06,R,Bill Johnson,"8,998"
Jefferson,Southeast,Wheeling,"46,383","20,086",State Senator,30,R,Frank Hoagland,"7,052"
