County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,Jeb Bush,23
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,Ben Carson,55
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,Chris Christie,10
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,Ted Cruz,"1,321"
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,Carly Fiorina,6
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,Mike Huckabee,24
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,John R. Kasich,"3,990"
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,Marco Rubio,145
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,Rick Santorum,4
Madison,Central,Columbus,"23,342","10,551",President (at-large),,R,Donald J. Trump,"2,613"
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,Jeb Bush,31
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,Ben Carson,67
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,Chris Christie,23
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,Ted Cruz,"1,338"
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,Carly Fiorina,16
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,Mike Huckabee,38
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,John R. Kasich,"3,913"
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,Marco Rubio,184
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,Rick Santorum,8
Madison,Central,Columbus,"23,342","10,551",President (district),15,R,Donald J. Trump,"2,566"
Madison,Central,Columbus,"23,342","10,551",U.S. Senator,,R,Don Elijah Eckhart,"1,408"
Madison,Central,Columbus,"23,342","10,551",U.S. Senator,,R,Rob Portman,"5,763"
Madison,Central,Columbus,"23,342","10,551",Representative to Congress,15,R,Steve Stivers,"6,365"
Madison,Central,Columbus,"23,342","10,551",State Senator,10,R,Robert D. Hackett,"4,477"
Madison,Central,Columbus,"23,342","10,551",State Senator,10,R,Brian Walton,"2,230"
Madison,Central,Columbus,"23,342","10,551",State Representative,74,R,Bill Dean,"1,567"
Madison,Central,Columbus,"23,342","10,551",State Representative,74,R,Joe Russell,952
Madison,Central,Columbus,"23,342","10,551",State Representative,74,R,Brendan P. Shea,"1,561"
Madison,Central,Columbus,"23,342","10,551",State Representative,74,R,Chris Wallace,"2,426"
