County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,Jeb Bush,28
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,Ben Carson,45
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,Chris Christie,19
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,Ted Cruz,486
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,Carly Fiorina,4
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,Mike Huckabee,22
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,John R. Kasich,"1,247"
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,Marco Rubio,110
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,Rick Santorum,1
Morgan,Central,Columbus,"8,722","4,497",President (at-large),,R,Donald J. Trump,"1,388"
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,Jeb Bush,34
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,Ben Carson,60
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,Chris Christie,17
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,Ted Cruz,469
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,Carly Fiorina,10
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,Mike Huckabee,37
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,John R. Kasich,"1,184"
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,Marco Rubio,123
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,Rick Santorum,4
Morgan,Central,Columbus,"8,722","4,497",President (district),15,R,Donald J. Trump,"1,332"
Morgan,Central,Columbus,"8,722","4,497",U.S. Senator,,R,Don Elijah Eckhart,505
Morgan,Central,Columbus,"8,722","4,497",U.S. Senator,,R,Rob Portman,"2,369"
Morgan,Central,Columbus,"8,722","4,497",Representative to Congress,15,R,Steve Stivers,"2,480"
Morgan,Central,Columbus,"8,722","4,497",State Senator,20,R,Troy Balderson,"2,453"
Morgan,Central,Columbus,"8,722","4,497",State Representative,78,R,Ron Hood,"2,196"
